Tumor_Sample_Barcode Plate Cell_Type
Frontal-DNA-SC01 PL01 ExN
Frontal-DNA-SC02 PL01 ExN
Frontal-DNA-SC04 PL01 InN
Frontal-DNA-SC04 PL01 InN
Frontal-DNA-SC04 PL01 InN
Frontal-DNA-SC05 PL01 InN
Frontal-DNA-SC05 PL01 InN
Frontal-DNA-SC07 PL01 ExN
Frontal-DNA-SC07 PL01 ExN
Frontal-DNA-SC10 PL01 InN
Frontal-DNA-SC10 PL01 InN
Frontal-DNA-SC10 PL01 InN
Frontal-DNA-SC12 PL01 ExN
Frontal-DNA-SC12 PL01 ExN
Frontal-DNA-SC13 PL01 ExN
Frontal-DNA-SC13 PL01 ExN
Frontal-DNA-SC13 PL01 ExN
Frontal-DNA-SC14 PL01 ExN
Frontal-DNA-SC16 PL01 InN
Frontal-DNA-SC16 PL01 InN
Frontal-DNA-SC20 PL01 ExN
Frontal-DNA-SC23 PL01 InN
Frontal-DNA-SC23 PL01 InN
Frontal-DNA-SC23 PL01 InN
Frontal-DNA-SC24 PL01 ExN
Frontal-DNA-SC25 PL01 InN
Frontal-DNA-SC26 PL01 ExN
Frontal-DNA-SC26 PL01 ExN
Frontal-DNA-SC26 PL01 ExN
Frontal-DNA-SC27 PL01 ExN
Frontal-DNA-SC27 PL01 ExN
Frontal-DNA-SC27 PL01 ExN
Frontal-DNA-SC27 PL01 ExN
Frontal-DNA-SC27 PL01 ExN
Frontal-DNA-SC28 PL01 ExN
Frontal-DNA-SC29 PL01 InN
Frontal-DNA-SC30 PL01 ExN
Frontal-DNA-SC30 PL01 ExN
Frontal-DNA-SC30 PL01 ExN
Frontal-DNA-SC30 PL01 ExN
Frontal-DNA-SC30 PL01 ExN
Frontal-DNA-SC31 PL01 InN
Frontal-DNA-SC32 PL01 ExN
Frontal-DNA-SC32 PL01 ExN
Frontal-DNA-SC32 PL01 ExN
Frontal-DNA-SC33 PL01 ExN
Frontal-DNA-SC33 PL01 ExN
Frontal-DNA-SC35 PL01 ExN
Frontal-DNA-SC35 PL01 ExN
Frontal-DNA-SC35 PL01 ExN
Frontal-DNA-SC36 PL01 InN
Frontal-DNA-SC36 PL01 InN
Frontal-DNA-SC36 PL01 InN
Frontal-DNA-SC37 PL01 ExN
Frontal-DNA-SC37 PL01 ExN
Frontal-DNA-SC40 PL01 ExN
Frontal-DNA-SC40 PL01 ExN
Frontal-DNA-SC41 PL01 InN
Frontal-DNA-SC41 PL01 InN
Frontal-DNA-SC44 PL01 InN
Frontal-DNA-SC44 PL01 InN
Frontal-DNA-SC44 PL01 InN
Frontal-DNA-SC44 PL01 InN
Frontal-DNA-SC45 PL01 ExN
Frontal-DNA-SC45 PL01 ExN
Frontal-DNA-SC49 PL01 ExN
Frontal-DNA-SC49 PL01 ExN
Frontal-DNA-SC49 PL01 ExN
Frontal-DNA-SC49 PL01 ExN
Frontal-DNA-SC51 PL01 ExN
Frontal-DNA-SC53 PL01 ExN
Frontal-DNA-SC53 PL01 ExN
Frontal-DNA-SC53 PL01 ExN
Frontal-DNA-SC54 PL01 ExN
Frontal-DNA-SC54 PL01 ExN
Frontal-DNA-SC55 PL01 InN
Frontal-DNA-SC56 PL01 ExN
Frontal-DNA-SC56 PL01 ExN
Frontal-DNA-SC56 PL01 ExN
Frontal-DNA-SC57 PL01 ExN
Frontal-DNA-SC57 PL01 ExN
Frontal-DNA-SC57 PL01 ExN
Frontal-DNA-SC57 PL01 ExN
Frontal-DNA-SC58 PL01 ExN
Frontal-DNA-SC58 PL01 ExN
Frontal-DNA-SC58 PL01 ExN
Frontal-DNA-SC58 PL01 ExN
Frontal-DNA-SC59 PL01 ExN
Frontal-DNA-SC59 PL01 ExN
Frontal-DNA-SC59 PL01 ExN
Frontal-DNA-SC59 PL01 ExN
Frontal-DNA-SC59 PL01 ExN
Frontal-DNA-SC59 PL01 ExN
Frontal-DNA-SC61 PL01 ExN
Frontal-DNA-SC61 PL01 ExN
Frontal-DNA-SC61 PL01 ExN
Frontal-DNA-SC61 PL01 ExN
Frontal-DNA-SC67 PL01 ExN
Frontal-DNA-SC67 PL01 ExN
Frontal-DNA-SC67 PL01 ExN
Frontal-DNA-SC69 PL01 ExN
Frontal-DNA-SC69 PL01 ExN
Frontal-DNA-SC69 PL01 ExN
Frontal-DNA-SC72 PL01 ExN
Frontal-DNA-SC72 PL01 ExN
Frontal-DNA-SC73 PL01 ExN
Frontal-DNA-SC73 PL01 ExN
Frontal-DNA-SC73 PL01 ExN
Frontal-DNA-SC74 PL01 ExN
Frontal-DNA-SC74 PL01 ExN
Frontal-DNA-SC74 PL01 ExN
Frontal-DNA-SC75 PL01 ExN
Frontal-DNA-SC75 PL01 ExN
Frontal-DNA-SC76 PL01 ExN
Frontal-DNA-SC77 PL01 ExN
