Tumor_Sample_Barcode Plate Cell_Type
Frontal-DNA-SC04 PL01 InN
Frontal-DNA-SC10 PL01 InN
Frontal-DNA-SC24 PL01 ExN
Frontal-DNA-SC32 PL01 ExN
Frontal-DNA-SC37 PL01 ExN
Frontal-DNA-SC69 PL01 ExN
Frontal-DNA-SC91 PL01 InN
Temporal-DNA-SC07 PL02 ExN
Temporal-DNA-SC24 PL02 InN
Temporal-DNA-SC28 PL02 ExN
Temporal-DNA-SC36 PL02 InN
Temporal-DNA-SC53 PL02 ExN
Temporal-DNA-SC54 PL02 ExN
Temporal-DNA-SC73 PL02 ExN
Temporal-DNA-SC80 PL02 ExN
Temporal-DNA-SC89 PL02 ExN
Temporal-DNA-SC90 PL02 ExN
Hippocampus-DNA-SC28 PL03 InN
Hippocampus-DNA-SC43 PL03 ExN
Hippocampus-DNA-SC44 PL03 ExN
Hippocampus-DNA-SC69 PL03 ExN
Hippocampus-DNA-SC71 PL03 InN
