ID,Hemisphere,Region,Punch,Cell_Type,Location,Organ,Note
7669_R_P_2_DLX1,R,P,2,DLX1,NEAR_P,CTX,
7669_R_P_3_DLX1,R,P,3,DLX1,NEAR_A,CTX,
7669_R_P_4_DLX1,R,P,4,DLX1,NEAR_V,CTX,
7669_R_P_5_DLX1,R,P,5,DLX1,NEAR_D,CTX,
7669_R_P_6_DLX1,R,P,6,DLX1,NEAR_AV,CTX,
7669_R_P_7_DLX1,R,P,7,DLX1,NEAR_PV,CTX,
7669_R_P_8_DLX1,R,P,8,DLX1,NEAR_AD,CTX,
7669_R_P_2_TBR1,R,P,2,TBR1,NEAR_P,CTX,
7669_R_P_3_TBR1,R,P,3,TBR1,NEAR_A,CTX,
7669_R_P_4_TBR1,R,P,4,TBR1,NEAR_V,CTX,
7669_R_P_5_TBR1,R,P,5,TBR1,NEAR_D,CTX,
7669_R_P_6_TBR1,R,P,6,TBR1,NEAR_AV,CTX,
7669_R_P_7_TBR1,R,P,7,TBR1,NEAR_PV,CTX,
7669_R_P_8_TBR1,R,P,8,TBR1,NEAR_AD,CTX,
7669_R_I_1_DLX1,R,I,1,DLX1,,CTX,
7669_R_O_1_DLX1,R,O,1,DLX1,C,CTX,
7669_R_P_9_DLX1,R,P,9,DLX1,NEAR_PD,CTX,LOW_INPUT
7669_R_F_1_TBR1,R,F,1,TBR1,,CTX,
7669_R_I_1_TBR1,R,I,1,TBR1,,CTX,
7669_R_O_1_TBR1,R,O,1,TBR1,C,CTX,
7669_R_P_9_TBR1,R,P,9,TBR1,NEAR_PD,CTX,
7669_R_P_10_DLX1,R,P,10,DLX1,FAR_V,CTX,
7669_R_P_11_DLX1,R,P,11,DLX1,FAR_D,CTX,
7669_R_P_12_DLX1,R,P,12,DLX1,FAR_AD,CTX,
7669_R_P_13_DLX1,R,P,13,DLX1,FAR_A,CTX,
7669_R_P_14_DLX1,R,P,14,DLX1,FAR_AV,CTX,
7669_R_P_15_DLX1,R,P,15,DLX1,FAR_P,CTX,
7669_R_P_16_DLX1,R,P,16,DLX1,FAR_PD,CTX,
7669_R_O_2_DLX1,R,O,2,DLX1,NEAR_A,CTX,
7669_R_O_3_DLX1,R,O,3,DLX1,NEAR_P,CTX,
7669_R_O_4_DLX1,R,O,4,DLX1,NEAR_D,CTX,
7669_R_O_5_DLX1,R,O,5,DLX1,NEAR_V,CTX,
7669_R_O_6_DLX1,R,O,6,DLX1,NEAR_AV,CTX,
